day;hour;value
0;0;0.14
0;1;0.14
0;2;0.13
0;3;0.12
0;4;0.11
0;5;0.12
0;6;0.14
0;7;0.23
0;8;0.45
0;9;0.76
0;10;0.88
0;11;0.93
0;12;0.97
0;13;0.99
0;14;1
0;15;1
0;16;0.99
0;17;0.92
0;18;0.77
0;19;0.59
0;20;0.34
0;21;0.22
0;22;0.19
0;23;0.16
1;0;0.14
1;1;0.14
1;2;0.13
1;3;0.12
1;4;0.11
1;5;0.12
1;6;0.14
1;7;0.23
1;8;0.45
1;9;0.76
1;10;0.88
1;11;0.93
1;12;0.97
1;13;0.99
1;14;1
1;15;1
1;16;0.99
1;17;0.92
1;18;0.77
1;19;0.59
1;20;0.34
1;21;0.22
1;22;0.19
1;23;0.16
2;0;0.14
2;1;0.14
2;2;0.13
2;3;0.12
2;4;0.11
2;5;0.12
2;6;0.14
2;7;0.23
2;8;0.45
2;9;0.76
2;10;0.88
2;11;0.93
2;12;0.97
2;13;0.99
2;14;1
2;15;1
2;16;0.99
2;17;0.92
2;18;0.77
2;19;0.59
2;20;0.34
2;21;0.22
2;22;0.19
2;23;0.16
3;0;0.14
3;1;0.14
3;2;0.13
3;3;0.12
3;4;0.11
3;5;0.12
3;6;0.14
3;7;0.23
3;8;0.45
3;9;0.76
3;10;0.88
3;11;0.93
3;12;0.97
3;13;0.99
3;14;1
3;15;1
3;16;0.99
3;17;0.92
3;18;0.77
3;19;0.59
3;20;0.34
3;21;0.22
3;22;0.19
3;23;0.16
4;0;0.14
4;1;0.14
4;2;0.13
4;3;0.12
4;4;0.11
4;5;0.12
4;6;0.14
4;7;0.23
4;8;0.45
4;9;0.76
4;10;0.88
4;11;0.93
4;12;0.97
4;13;0.99
4;14;1
4;15;1
4;16;0.99
4;17;0.92
4;18;0.77
4;19;0.59
4;20;0.34
4;21;0.22
4;22;0.19
4;23;0.16
5;0;0.14
5;1;0.14
5;2;0.13
5;3;0.12
5;4;0.11
5;5;0.12
5;6;0.12
5;7;0.13
5;8;0.16
5;9;0.22
5;10;0.25
5;11;0.26
5;12;0.27
5;13;0.27
5;14;0.27
5;15;0.27
5;16;0.27
5;17;0.26
5;18;0.22
5;19;0.19
5;20;0.14
5;21;0.12
5;22;0.12
5;23;0.11
6;0;0.1
6;1;0.1
6;2;0.1
6;3;0.1
6;4;0.1
6;5;0.1
6;6;0.1
6;7;0.1
6;8;0.1
6;9;0.1
6;10;0.1
6;11;0.1
6;12;0.1
6;13;0.1
6;14;0.1
6;15;0.1
6;16;0.1
6;17;0.1
6;18;0.1
6;19;0.1
6;20;0.1
6;21;0.1
6;22;0.1
6;23;0.1
